Ac2O3	Actinium(lll) Oxide	12002-61-8
C8H9NO2	Methyl Anthranilate	134-20-3
C8H10N4O2	Caffeine	58-08-2
C8H11NO	Tyramine	51-67-2
C8H11N5O3	Aciclovir	59277-89-3
C8H18	Octane	111-65-9
C9H6BrN	4-bromoisoquinoline	1532-97-4
C9H6N2	5-cyanoindole	15861-24-2
C9H6O3	Umbelliferone	93-35-6
C9H7NO	8-hydroxyquinoline	148-24-3
C9H7NO	Indole-3-carboxaldehyde	487-89-8
C9H7NO2	Indole-2-carboxylic Acid	1477-50-5
C9H7NO2	Indole-3-carboxylic Acid	771-50-6
C9H8N2	5-aminoisoquinoline	1125-60-6
C9H8N2	5-aminoquinoline	611-34-7
C9H8N2	6-aminoquinoline	580-15-4
C9H8N2	8-aminoquinoline	578-66-5
C9H8O2	Cinnamic Acid	140-10-3
C9H8O3	O-coumaric Acid	614-60-8
C9H8O3	M-coumaric Acid	621-54-5
C9H8O3	P-coumaric Acid	7400-08-0
C9H8O4	Aspirin|Acetylsalicylic Acid	50-78-2
C9H8O4	Caffeic Acid	331-39-5
C9H9N	Methylketol	95-20-5
C9H9N	Skatole	83-34-1
C9H9NO	4-methoxyindole	4837-90-5
C9H9NO	5-methoxyindole	1006-94-6
C9H9NO	6-methoxyindole	3189-13-7
C9H9NO	Indole-3-carbinol	700-06-1
C9H9NO3	Hippuric Acid	495-69-2
C9H10O3	Paeonol	552-41-0
C9H11NO2	Phenylanine|Lpa	63-91-2
C9H11NO2	Phenylanine|Dlpa	150-30-1
C9H11NO3	Tyrosine|Tyr	31330-59-3
C9H11NO4	L-dopa	59-92-7
C9H17NO2	Gabapentin	60142-96-3
C9H18N2O2	1-boc-piperazine	57260-71-6
C9H20	Nonane	111-84-2
C10H7NO2	Quinaldic Acid	93-10-7
C10H8	Naphthalene	91-20-3
C10H8O3	Hymecromone	90-33-5
C10H9NO2	Indole-3-acetic Acid	87-51-4
C10H9N5O	Kinetin	525-79-1
C10H9NO2	5-methoxyindole-3-carboxaldehyde	10601-19-1
C10H10N2O	Edaravone	89-25-8
C10H10O4	Ferulic Acid	1135-24-6
C10H11N3O3S	Sulfamethoxazole	723-46-6
C10H12N2	Tryptamine	61-54-1
C10H13N5O4	Adenosine	58-61-7
C10H14O	Mentha Spicata Herb Oil	8008-79-5
C10H15ON	Ephedrine	56370-30-0
C10H16O	Camphor	76-22-2
C10H17NO3	Boc-4-piperidone	79099-07-3
C10H19NO3	1-boc-4-piperidinol	109384-19-2
C10H20N2O2	Boc-4-aminopiperidine	87120-72-7
C10H22	Decane	124-18-5
C11H8O2	Menadione	58-27-5
C11H11NO2	3-indolepropionic Acid	830-96-6
C11H12N2O2	Tryptophan|Trp	73-22-3
C11H14N2O	5-methoxytryptamine	608-07-1
C11H19NO4	Boc-isonipecotic Acid	84358-13-4
C11H24	Undecane	1120-21-4
C12H8O4	Methoxsalen	298-81-7
C12H10	Biphenyl	92-52-4
C12H10ClN2O5S	Furosemide	54-31-9
C12H11N5	6-benzylaminopurine	1214-39-7
C12H15NO	1-benzyl-4-piperidone	3612-20-2
C12H22O11	Maltose	69-79-4
C12H22O11	Sucrose	57-50-1
C12H13NO2	Indole-3-butyric Acid	133-32-4
C12H18O	Propofol	2078-54-8
C12H26	Dodecane	112-40-3
C13H10O	Benzophenone	119-61-9
C13H12F2N6O	Fluconazole	86386-73-4
C13H12O	?-Ionone	2484-16-4
C13H12O2	Monobenzene	103-16-2
C13H16N2O2	Melatonin	73-31-4
C13H18O2	Ibuprofen	15687-27-1
C13H28	Tridecane	629-50-5
C14H10	Anthracene	120-12-7
C14H10O14	Benzoyl Peroxide	94-36-0
C14H12O3	Resveratrol	501-36-0
C14H18N2O5	Aspartame	81-14-1
C14H18N4O3	Trimethoprim	738-70-5
C14H30	Tetradecane	629-59-4
C15H10O4	Daidzein	486-66-8
C15H10O5	Apigenin	520-36-5
C15H10O5	Emodin	518-82-1
C15H10O5	Genistein	446-72-0
C15H10O6	Luteolin	491-70-3
C15H10O7	Quercetin	117-39-5
C15H12N2O	Carbamazepine	298-46-4
C15H12N2O2	Phenytoin	57-41-0
C15H32	Pentadecane	629-62-9
C16H34	Hexadecane	544-76-3
C17H14F3N3O2S	Celecoxib	169590-42-5
C17H18N2O6	Nifedipine	21829-25-4
C17H19N3O3S	Omeprazole	73590-58-6
C17H36	Heptadecane	629-78-7
C18H27NO3	Capsaicin	404-86-4
C18H32O2	Linoleic Acid	60-33-3
C18H36O2	Stearic Acid	57-11-4
C18H38	Octadecane	593-45-3
C19H16ClNO4	Indometacin	53-86-1
C19H40	Nonadecane	629-92-5
C20H24O2N2	Quinine	130-95-0
C20H28O2	Tretinoin	302-79-4
C20H42	Eicosane	112-95-8
C21H36N7O16P3S	Coenzyme A	31416-98-5
C21H30O2	Tetrahydrocannabinol	1972-08-3
C22H23ClN2O2	Loratadine	79794-75-5
C164H256Na2O68S2	Maitotoxin	59392-53-9
CaB6	Calcium Boride	12007-99-7
CaBr2	Calcium Bromide	7789-41-5
Ca(CN)2	Calcium Cyanide	592-01-8
CaCO3	Calcium Carbonate|Spent Lime|Calcite|Limestone|Marble	471-34-1
CaC2	Calcium Carbide	75-20-7
Ca(CHO2)2	Calcium Formate	544-17-2
Ca(C2H3O2)2	Calcium Acetate	62-54-4
CaC2O4	Calcium Oxalate	563-72-4
CaCN2	Calcium Cyanamide	156-62-7
CaCl2	Calcium Chloride	10043-52-4
Ca(ClO)2	Calcium Hypochlorite	7778-54-3
Ca(ClO3)2	Calcium Chlorate	10137-74-3
Ca(ClO4)2	Calcium Perchlorate	13477-36-6
CaF2	Calcium Fluoride|Fluorite	7789-75-5
CaH2	Calcium Hydride	7789-78-8
Ca(H2PO2)2	Calcium Hypophosphite	7789-79-9
CaI2	Calcium Iodide	10102-68-8
Ca(IO3)2	Calcium Iodate	7789-80-2
CaMoO4	Calcium Molybdate	7789-82-4
Ca(NO2)2	Calcium Nitrite	13780-06-8
Ca(NO3)2	Calcium Nitrate	10124-37-5
Ca(NO3)2 4H2O	Calcium Nitrate Tetrahydrate	13477-34-4
Ca(NbO3)2	Calcium Metaniobate	
CaO	Quicklime|Calcium Oxide|Burnt Lime	1305-78-8
Ca(OH)2	Calcium Hydroxide|Slaked Lime	1305-62-0
CaO2	Calcium Peroxide	1305-79-9
CaP	Calcium Monophosphide	
CaS	Calcium Sulfide|Hepar Calcies|Sulfurated Lime|Oldhamite	20548-54-3
CaSO3	Calcium Sulfite	10257-55-3
CaSO4	Calcium Sulfate|Whiskers Crystal	7778-18-9
CaSO4 0.5H2O	Plaster Of Paris|Calcium Sulfate Hemihydrate	10034-76-1
CaSe	Calcium Selenide	1305-84-6
CaSeO3	Calcium Selenite	13780-18-2
CaSeO4	Calcium Selenate	14019-91-1
CaSiO3	Calcium Metasilicate|Wollastonite	1344-95-2
CaTe	Calcium Telluride	12013-57-9
CaTeO3	Calcium Tellurite	13812-57-2
CaTeO4	Calcium Tellurate	15852-09-2
CaTiO3	Calcium Titanate	12049-50-2
Ca(VO3)2	Calcium Metavanadate	
Ca(VO4)2	Calcium Orthovanadate	
CaWO4	Calcium Tungstate	7790-75-2
Ca3N2	Calcium Nitride	12013-82-0
Ca3P2	Calcium Phosphide	1305-99-3
CdBr2	Cadmium Bromide	7789-42-6
Cd(CN)2	Cadmium Cyanide	542-83-6
CdCO3	Cadmium Carbonate	513-78-0
Cd(C2H3O2)2	Cadmium Acetate	543-90-8
CdC2O4	Cadmium Oxalate	814-88-0
CdCl2	Cadmium Chloride	10108-64-2
CdCrO4	Cadmium Chromate	14312-00-6
CdF2	Cadmium Fluoride	7790-79-6
CdI2	Cadmium Iodide	7790-80-9
Cd(IO3)2	Cadmium Iodate	7790-81-0
CdMoO4	Cadmium Molybdate	13972-68-4
Cd(NO3)2	Cadmium Nitrate	10325-94-7
Cd(N3)2	Cadmium Azide	14215-29-3
CdO	Cadmium Oxide	1306-19-0
Cd(OH)2	Cadmium Hydroxide	21041-95-2
CdS	Cadmium Sulfide|Greenockite	1306-23-6
CdSO3	Cadmium Sulfite	13477-23-1
CdSO4	Cadmium Sulfate	10124-36-4
CdSb	Cadmium Antimonide	12014-29-8
CdSe	Cadmium Selenide|Cadmoselite	1306-24-7
CdSeO3	Cadmium Selenite	13814-59-0
CdSiO3	Cadmium Metasilicate	13477-19-5
Cd(TaO3)2	Cadmium Metatantalate	
CdTe	Cadmium Telluride	1306-25-8
CdTeO4	Cadmium Tellurate	15852-14-9
CdTiO3	Cadmium Titanate	12014-14-1
CdWO4	Cadmium Tungstate	7790-85-4
CdZrO3	Cadmium Metazirconate	
Cd2Nb2O7	Cadmium Niobate	12187-14-3
Cd3As2	Cadmium Arsenide	12006-15-4
Cd3P2	Cadmium Phosphide	12014-28-7
Cd3(PO4)2	Cadmium Phosphate	13477-17-3
CeB6	Cerium Boride	12008-02-5
CeBr3	Cerium(iii) Bromide	14457-87-5
CeC	Cerium Carbide	12012-32-7
CeCl3	Cerium(iii) Chloride	7790-86-5
CeF3	Cerium(iii) Fluoride	7758-88-5
CeF4	Cerium(iv) Fluoride	7758-88-5
CeI2	Cerium(ii) Iodide	19139-47-0
CeI3	Cerium(iii) Iodide	7790-87-6
CeN	Cerium Nitride	25764-08-3
CeO2	Cerium(iv) Oxide|Cerianite	1306-38-3
CeS	Cerium(ii) Sulfide	12014-82-3
Ce(SO4)2	Cerium(iv) Sulfate	13590-82-4
CeSi2	Cerium Silicide	12014-85-6
Ce2C3	Cerium(iii) Carbide	12115-63-8
Ce2O3	Cerium(iii) Oxide	1345-13-7
Ce2S3	Cerium(iii) Sulfide	12014-93-6
CF4	Tetrafluoromethane	75-73-0
ClF	Chlorine Fluoride	7790-89-8
ClF3	Chlorine Trifluoride	7790-91-2
ClF5	Chlorine Pentafluoride	13637-63-3
ClOClO3	Chlorine Perchlorate	27218-16-2
ClO2	Chlorine Dioxide	10049-04-4
ClO3F	Chlorine Trioxide Fluoride	7616-94-6
Cl2	Chlorine	7782-50-5
Cl2O3	Chlorine Trioxide	17496-59-2
Cl2O6	Chlorine Hexoxide	12442-63-6
Cl2O7	Chlorine Heptoxide	10294-48-1
Cl2O8	Chlorine Octaoxide	
CoAl2O4	Cobalt(ii) Aluminate	13820-62-7
CoAs	Cobalt Arsenide	27016-73-5
CoAs2	Cobalt(ii) Arsenide	12044-42-7
CoB	Cobalt(ii) Boride	12006-77-8
CoBr2	Cobalt(ii) Bromide	7789-43-7
Co(CN)2	Cobalt(ii) Cyanide	542-84-7
Co(C2H3O2)2	Cobalt(ii) Acetate	71-48-7
Co(C2H3O2)3	Cobalt(iii) Acetate	917-69-1
CoC2O4	Cobalt(ii) Oxalate	814-89-1
Co(ClO4)2	Cobalt(ii) Perchlorate	13455-31-7
CoCl2	Cobalt(ii) Chloride	7646-79-9
CoCrO4	Cobalt(ii) Chromate	24613-38-5
CoCr2O4	Cobalt(ii) Chromite	13455-25-9
CoF2	Cobalt(ii) Fluoride	10026-17-2
CoF3	Cobalt(iii) Fluoride	10026-18-3
Co(IO3)2	Cobalt(ii) Iodate	13455-28-2
CoI2	Cobalt(ii) Iodide	15238-00-3
CoMoO4	Cobalt(ii) Molybdate	13762-14-6
Co(NO3)2	Cobalt(ii) Nitrate	10141-05-6
Co(NO3)3	Cobalt(iii) Nitrate	15520-84-0
CoO	Cobalt(ii) Oxide	1307-96-6
Co(OH)2	Cobalt(ii) Hydroxide	21041-93-0
Co(OH)3	Cobalt(iii) Hydroxide	1307-86-4
CoS	Cobalt(ii) Sulfide	1317-42-6
CoS2	Cobalt Disulfide	12013-10-4
CoSb	Cobalt Antimonide	12052-42-5
CoSe	Cobalt(ii) Selenide	1307-99-9
CoSeO3	Cobalt(ii) Selenite	10026-23-0
CoTe	Cobalt(ii) Telluride	12017-13-9
CoTiO3	Cobalt(ii) Titanate	12017-01-5
CoWO4	Cobalt(ii) Tungstate	12640-47-0
Co2B	Cobalt Boride	12045-01-1
Co2SO4	Cobalt(ii) Sulfate	10124-43-3
Co2S3	Cobalt(iii) Sulfide	1332-71-4
Co2SiO4	Cobalt(ii) Orthosilicate	12017-08-2
Co2SnO4	Cobalt(ii) Stannate	12139-93-4
Co2TiO4	Cobalt(ii) Titanite	12017-38-8
Co3(Fe(CN)6)2	Cobalt(ii) Ferricyanide	14049-81-1
CrBr2	Chromium(ii) Bromide	10049-25-9
CrBr3	Chromium(iii) Bromide	10031-25-1
CrCl2	Chromium(ii) Chloride	10049-05-5
CrCl3	Chromium(iii) Chloride	10025-73-7
CrCl4	Chromium(iv) Chloride	15597-88-3
CrF2	Chromium(ii) Fluoride	10049-10-2
CrF3	Chromium(iii) Fluoride	7788-97-8
CrF4	Chromium(iv) Fluoride	10049-11-3
CrF5	Chromium(v) Fluoride	13843-28-2
CrF6	Chromium(vi) Fluoride	13843-28-2
CrI2	Chromium(ii) Iodide	13478-28-9
CrI3	Chromium(iii) Iodide	13569-75-0
Cr(NO3)3	Chromium(iii) Nitrate	13548-38-4
Cr(NO2)3	Chromium(iii) Nitrite	
Cr(OH)3	Chromium(iii) Hydroxide	
CrO2	Chromium(iv) Oxide	12018-01-8
CrO3	Chromium(vi) Oxide	1333-82-0
CrO4	Chromate Ion	13907-45-4
CrO2Cl2	Chromium(vi) Oxychloride	14977-61-8
CrPO4	Chromium(iii) Phosphate	7789-04-0
CrSb	Chromium Antimonide	12053-12-2
CrVO4	Chromium(iii) Orthovanadate	
Cr2O3	Chromium(iii) Oxide|Eskolaite	1308-38-9
Cr2(SO4)3	Chromium(iii) Sulfate	10101-53-8
Cr2S3	Chromium(iii) Sulfide	12018-22-3
Cr2Se3	Chromium(iii) Selenide	
Cr2(TeO4)3	Chromium(iii) Tellurate	
Cr2Te3	Chromium(iii) Telluride	12053-39-3
Cr3As2	Chromium(ii) Arsenide	
Cr3C2	Chromium(ii) Carbide	12012-35-0
Cr3Sb2	Chromium(ii) Antimonide	
Cr3Si2	Chromium(ii) Silicide	
CsBO2	Caesium Borate	92141-86-1
CsBr	Caesium Bromide	7787-69-1
CsBrO3	Caesium Bromate	13454-75-6
CsBr3	Caesium Tribromide	
CsCN	Caesium Cyanide	21159-32-0
CsC2H3O2	Caesium Acetate	3396-11-0
CsCl	Caesium Chloride	7647-17-8
CsClO	Caesium Hypochlorite	
CsClO2	Caesium Chlorite	
CsClO3	Caesium Chlorate	13763-67-2
CsClO4	Caesium Perchlorate	13454-84-7
CsF	Caesium Fluoride	13400-13-0
CsI	Caesium Iodide	7789-17-5
CsI3	Caesium Triiodide	
CsNH2	Caesium Amide	22205-57-8
CsNO2	Caesium Nitrite	13454-83-6
CsNO3	Caesium Nitrate	7789-18-6
CsN3	Caesium Azide	22750-57-8
CsNbO3	Caesium Metaniobate	
CsOH	Caesium Hydroxide	21351-79-1
CsO2	Caesium Superoxide	12018-61-0
Cs2O2	Caesium Peroxide	
Cs2S	Caesium Sulfide	12214-16-3
CsSCN	Caesium Thiocyanate	3879-01-4
CsSeO4	Caesium Selenate	10326-29-1
CsTaO3	Caesium Metatantalate	
Cs2CO3	Caesium Carbonate	29703-01-3
CsHCO3	Caesium Bicarbonate	15519-28-5
CsHSO3	Caesium Bisulfite	
CsHSO4	Caesium Bisulfate	
Cs2C2O4	Caesium Oxalate	1068-63-9
Cs2CrO4	Caesium Chromate	13454-78-9
Cs2Cr2O7	Caesium Dichromate	13530-67-1
Cs2HPO4	Caesium Hydrogen Orthophosphate	
Cs2MoO4	Caesium Molybdate	13597-64-3
Cs2O	Caesium Oxide	20281-00-9
Cs2SO3	Caesium Sulfite	
Cs2SO4	Caesium Sulfate	10294-54-9
Cs2SiO3	Caesium Metasilicate	
Cs2TeO4	Caesium Tellurate	34729-54-9
Cs2TiO3	Caesium Titanate|Caesium Metatitanate	12158-57-5
Cs2WO4	Caesium Orthotungstate	
Cs3PO4	Caesium Orthophosphate	
Cs3VO4	Caesium Orthovanadate	
CuBr	Copper(i) Bromide	7787-70-4
Cu(BrO3)2 6H2O	Copper(ii) Bromate Hexahydrate	
CuBr2	Copper(ii) Bromide	7789-45-9
CuC2O4	Copper Oxalate	814-91-5
Cu(CH3COO)2	Copper(ii) Acetate	
CuCl	Copper(i) Chloride	7758-89-6
Cu(ClO3)2 6H2O	Copper(ii) Chlorate Hexahydrate	
CuCl2	Copper(ii) Chloride	7447-39-4
CuF	Copper(i) Fluoride	7789-19-7
CuF2	Copper(ii) Fluoride	11113-59-0
CuFeS2	Copper Iron Sulfide|Chalcopyrite	12015-76-8
CuFe2O4	Copper(ii) Iron(ii) Oxide	37220-43-2
CuFe2S3	Copper Iron Sulfide|Cubanite	37293-35-9
(Cu(H2O)4)SO4 H2O	Blue Vitriol	
CuI	Copper(i) Iodide	7681-65-4
CuIO3	Copper(i) Iodate	
Cu(IO3)2	Copper(ii) Iodate	
CuMoO4	Copper(ii) Orthomolybdate	
Cu(NO3)2	Copper(ii) Nitrate	3251-23-8
Cu(NO3)2 3H2O	Copper(ii) Nitrate Trihydrate	10031-43-3
Cu(NO3)2 6H2O	Copper(ii) Nitrate Hexahydrate	10294-41-4
Cu(NbO3)2	Copper(ii) Orthoniobate	
CuO	Copper(ii) Oxide	1317-38-0
Cu2O	Copper(i) Oxide	
Cu(OH)2	Copper(ii) Hydroxide	20427-59-2
Cu(OH)2CO3	Verdigris	
CuS	Copper(ii) Sulfide|Covellite	1317-40-4
CuSCN	Copper(i) Thiocyanate	1111-67-7
CuSO4	Copper(ii) Sulfate	7758-98-7
CuSO4 5H2O	Copper(ii) Sulfate Pentahydrate	7758-99-8
CuSe	Copper(ii) Selenide	37359-15-2
CuSeO3 2H2O	Copper(ii) Selenite Dihydrate	
CuSeO4 5H2O	Copper(ii) Selenate Pentahydride	
CuSiO3	Copper(ii) Metasilicate	
CuTe	Copper(ii) Telluride	12019-23-7
CuTeO3	Copper(ii) Tellurite	13812-58-3
CuTiO3	Copper(ii) Metatitanate	
Cu(VO3)2	Copper(ii) Metavanadate	
CuWO4	Copper(ii) Orthotungstate	
Cu2CO3(OH)2	Malachite	1319-53-5
Cu2S	Copper(i) Sulfide|Chalcocite	21112-20-9
Cu2Se	Copper(i) Selenide	20405-64-5
Cu2Te	Copper(i) Telluride	12019-52-2
Cu3As	Copper(i) Arsenide	12005-75-3
Cu3P	Copper(i) Phosphide	12019-57-7
Cu3(PO4)2	Copper(ii) Phosphate	7798-23-4
Cu3Sb	Copper(iii) Antimonide	12054-25-0
Cu9S5	Copper Sulfide|Digenite	
DyBr3	Dysprosium(iii) Bromide	14456-48-5
DyCl2	Dysprosium(ii) Chloride	13767-31-2
DyCl3	Dysprosium(iii) Chloride	10025-74-8
DySi2	Dysprosium(ii) Silicide	12133-07-2
Dy2O3	Dysprosium(iii) Oxide	1308-87-8
Dy2S3	Dysprosium(iii) Sulfide	12133-10-7
ErF	Erbium Monofluoride	16087-67-5
ErF2	Erbium Difluoride	16087-65-3
ErF3	Erbium Trifluoride	13760-83-3
ErI3	Erbium Triiodide	13813-42-8
ErI4Na	Erbium Sodium Tetraiodide	129863-13-4
ErO	Erbium Monoxide	12280-61-4
EuF	Europium Monofluoride	17209-60-8
EuF3	Europium Trifluoride	13765-25-8
EuI2	Europium Diiodide	22015-35-6
EuNbO2	Europium Niobium Dioxide	107069-78-3
EuNb2O6	Europium Diniobium Hexaoxide	55216-32-5
EuO	Europium Monoxide	12020-60-9
EuO2V	Monoeuropium Monovandium Dioxide	88762-30-5
EuO3Ti	Europium Titanium Trioxide	12020-61-0
EuO3V	Europium Metavanadate	39432-21-8
EuO4W	Europium Tungsten Tetraoxide	13537-12-7
EuS	Europium Monosulfide	12020-65-4
EuS2	Europium Disulfide	55957-42-1
Eu2O	Dieuropium Monoxide	62462-47-9
Eu2O2	Dieuropium Dioxide	62462-48-0
Eu2S	Dieuropium Monosulfide	62462-49-1
Eu2S2	Dieuropium Disulfide	62462-51-5
F2Fe	Iron Fluoride	41428-55-1
FGa	Gallium Monofluoride	13966-78-4
FGaO	Gallium Monofluoride Monoxide	15586-66-0
FGd	Gadolinium Monofluoride	12259-18-6
FGe	Germanium Monofluoride	14929-46-5
FHo	Holmium Monofluoride	16087-66-4
FI	Iodine Monofluoride	13873-84-2
FI2	Monofluorodiiodine	58751-33-0
FIn	Indium Monofluoride	13966-95-5
FLa	Lanthanum Monofluoride	13943-44-7
FLi	Lithium Fluoride	7789-24-4
FLiO	Lithium Hypofluorite	34240-84-1
FLi2	Dilithium Monofluoride	50644-69-4
FMg	Magnesium Monofluoride	14953-28-7
FMn	Monomanganese Monofluoride	13569-25-0
FMnO3	Manganese Fluoride Trioxide	15586-97-7
FMo	Molybdenum Monofluoride	60388-18-3
FN	Fluoroimidogen	13967-06-1
FNO	Nitrosyl Fluoride	7789-25-5
FNO2	Nitryl Fluoride	10022-50-1
FNO3	Fluorine Nitrate	7789-26-6
FNS	Thiazyl Fluoride	18820-63-8
FNa	Sodium Fluoride	7681-49-4
FNa2	Disodium Monofluoride	87331-13-3
FNd	Neodymium Monofluoride	13940-77-7
FO	Oxygen Monofluoride	12061-70-0
FOTh	Thorium Monofluoride Monoxide	19797-90-1
FOTi	Titanium Fluoride Oxide	17497-75-5
FO2	Dioxygen Monofluoride	15499-23-7
FO3S	Fluorosulfate Radical	21549-02-0
FP	Phosphorus Monofluoride	16027-92-2
FPS	Phosphenothious Fluoride	55753-39-4
FPS2	Phosphenodithioic Fluoride	137649-46-8
FPb	Lead Monofluoride	14986-72-2
FPu	Plutonium Monofluoride	20882-16-0
FRb	Rubidium Fluoride	13446-74-7
FS	Monosulfur Monofluoride	16068-96-5
FSc	Scandium Monofluoride	14017-33-5
FSm	Samarium Monofluoride	17209-59-5
FSn	Tin Monofluoride	13966-74-0
FSr	Strontium Monofluoride	13569-27-2
FTh	Thorium Monofluoride	51686-34-1
FTi	Titanium Fluoride	18025-22-4
FTl	Thallium Monofluoride	7789-27-7
FW	Tungsten Monofluoride	51621-16-0
FXe	Xenon Monofluoride	16757-14-5
FY	Yttrium Monofluoride	13981-88-9
FZr	Zirconium Fluoride	13569-28-3
F2	Fluorine	7782-41-4
F2Fe	Ferrous Fluoride	7789-28-8
F2Ga	Gallium Difluoride	51777-79-8
F2Gd	Gadolinium Difluoride	12259-19-7
F2Ge	Germanium Difluoride	13940-63-1
F2GeO	Difluorogermanone	72190-38-6
F2Hg	Mercury Fluoride	7783-39-3
F2Hg2	Mercury Fluoride	13967-25-4
F2Ho	Holmium Difluoride	16087-64-2
F2IP	Difluoroiodophosphine	13819-11-9
F2K2	Dipotassium Difluoride	12285-62-0
F2Kr	Krypton Difluoride	13773-81-4
F2La	Lanthanum Difluoride	15948-68-2
F2Li2	Lithium Fluoride	12265-82-6
F2Mg	Magnesium Fluoride	7783-40-6
F2Mn	Manganese Difluoride	7782-64-1
F2Mo	Molybdenum Difluoride	20205-60-1
F2MoO2	Molybdenum Difluoride Dioxide	13824-57-2
F2N	Difluoroamino Radical	3744-07-8
F2N2O	Nitrosodifluoroamine	14984-78-2
F2Na2	Disodium Difluoride	12285-64-2
F2Nd	Neodymium Difluoride	13940-76-6
F2Ni	Nickel Difluoride	10028-18-9
F2O	Oxygen Difluoride	7783-41-7
F2OS	Thionyl Fluoride	7783-42-8
F2OSi	Difluorooxosilane	14041-22-6
F2OTi	Titanium Fluoride Oxide	13537-16-1
F2O2	Perfluoroperoxide	7783-44-0
F2O2S	Sulfuryl Fluoride	2699-79-8
F2O2W	Tungsten Difluoride Dioxide	14118-73-1
F2O5S3	Peroxydisulfuryl Difluoride	
F2P	Phosphorus Difluoride	13873-52-4
F2Pb	Lead Difluoride	7783-46-2
F2Pt	Platinum Difluoride	18820-56-9
F2Pu	Plutonium Difluoride	20882-15-9
F2S	Sulfur Difluoride	13814-25-0
F2SW	Tungsten Difluoride Monosulfide	41831-78-1
F2S2	Difluorodisulfane	13709-35-8
F2S2	Thiothionyl Fluoride	16860-99-4
F2S2	Thiothionyl Fluoride	101947-30-2
F2S2W	Tungsten Difluoride Disulfide	41831-81-6
F2Sc	Scandium Difluoride	14017-34-6
F2Se	Selenium Difluoride	70421-43-1
F2Si	Difluorosilylene	13966-66-0
F2Sn	Tin Difluoride	7783-47-3
F2Sr	Strontium Fluoride	7783-48-4
F2Th	Thorium Difluoride	28844-11-3
F2Ti	Titanium Difluoride	13814-20-5
F2Tl2	Dithallium Difluoride	31970-97-5
F2W	Tungsten Difluoride	33963-15-4
F2Xe	Xenon Difluoride	13709-36-9
F2Y	Yttrium Difluoride	13981-89-0
F2Zn	Zinc Difluoride	7783-49-5
F2Zr	Zirconium Fluoride	13842-94-9
F3Fe	Iron Trifluoride	7783-50-8
F3Ga	Gallium Trifluoride	7783-51-9
F3Gd	Gadolinium Trifluoride	13765-26-9
F3Ho	Holmium Trifluoride	13760-78-6
F3La	Lanthanum Trifluoride	13709-38-1
F3Li3	Trilithium Trifluoride	110682-19-4
F3Lu	Lutetium Trifluoride	13760-81-1
F3Mn	Manganese Trifluoride	7783-53-1
F3Mo	Molybdenum Trifluoride	20193-58-2
F3MoO	Molybdenum Trifluoride Oxide	22529-29-9
F3MoS	Molybdenum Trifluoride Sulfide	67374-76-9
F3N	Nitrogen Trifluoride	7783-54-2
F3NO	Nitrogen Trifluoride Oxide	13847-65-9
F3NO2S	Difluoroaminosulfonyl Fluoride	13709-30-3
F3NO3S	Difluoraminooxysulfonyl Fluoride	6816-12-2
F3NS	Thiazyl Trifluoride	15930-75-3
F3NaSn	Sodium Trifluorostannate	13782-22-4
F3Nd	Neodymium Trifluoride	13709-42-7
F3OP	Phosphoryl Fluoride	13478-20-1
F3OTa	Tantalum Monoxide Trifluoride	20263-47-2
F3OV	Vanadium Trifluoride Oxide	13709-31-4
F3P	Phosphorus Trifluoride	7783-55-3
F3PS	Thiophosphoryl Fluoride	2404-52-6
F3Pr	Praseodymium Trifluoride	13709-46-1
F3Pu	Plutonium Trifluoride	13842-83-6
F3Rh	Rhodium Fluoride	60804-25-3
F3S	Sulfur Trifluoride	30937-38-3
F3SW	Tungsten Trifluoride Monosulfide	41831-79-2
F3Sb	Antimony Trifluoride	7783-56-4
F3Sc	Scandium Fluoride	13709-47-2
F3Si	Trifluorosilyl Radical	14835-14-4
F3Sm	Samarium Trifluoride	13765-24-7
F3Tb	Terbium Trifluoride	13708-63-9
F3Th	Thorium Trifluoride	13842-84-7
F3Ti	Titanium Trifluoride	13470-08-1
F3Tl	Thallium Trifluoride	7783-57-5
F3Tm	Thulium Trifluoride	13760-79-7
F3W	Tungsten Trifluoride	51621-17-1
F3Y	Yttrium Trifluoride	13709-49-4
F3Yb	Ytterbium Trifluoride	13760-80-0
F3Zr	Zirconium Trifluoride	13814-22-7
F4Ge	Germanium Tetrafluoride	7783-58-6
F4Ge2	Digermanium Tetrafluoride	12332-08-0
F4Hf	Hafnium Fluoride	13709-52-9
F4Mg2	Dimagnesium Tetrafluoride	56450-89-6
F4Mg2	Magnesium Fluoride	58790-41-3
F4Mo	Molybdenum Tetrafluoride	23412-45-5
F4MoO	Molybdenum Tetrafluoride Oxide	14459-59-7
F4MoS	Molybdenum Tetrafluoride Monosulfide	70487-60-4
F4N2	Tetrafluorohydrazine	10036-47-2
F4Na2Sn	Disodium Tetrafluorostannate	15007-55-3
F4OOs	Osmium Oxide Tetrafluoride	38448-58-7
F4OP2	Diphosphorus Tetrafluoride Oxide	13812-07-2
F4ORe	Rhenium Tetrafluoride Oxide	17026-29-8
F4OS	Sulfur Tetrafluoride Oxide	13709-54-1
F4OW	Tungsten Tetrafluoride Oxide	13520-79-1
F4OXe	Xenon Tetrafluoride Oxide	13774-85-1
F4P2	Diphosphorus Tetrafluoride	13824-74-3
F4Pb	Lead Tetrafluoride	7783-59-7
